book_name,book_url,book_author,book_introduction 
Advanced Topics in C,http://www.allitebooks.org/advanced-topics-in-c/,Noel Kalicharan,"C is the most widely used programming language of all time. It has been used to create almost every category of software imaginable and the list keeps growing every day. Cutting-edge applications, such as Arduino, embeddable and wearable computing are ready-made for C. Advanced Topics In C teaches…"
Project 2013 For Dummies,http://www.allitebooks.org/project-2013-for-dummies/,Cynthia Snyder Stackpole,"An easy-to-understand guide to the latest version of Microsoft’s enterprise project management software: Project 2013 If you’ve never used project management software before or if you’re just getting up to speed on the new features in Project 2013, this is the book for you! With this easy-to-understand guide, you have a…"
"Communication Systems, 5th Edition",http://www.allitebooks.org/communication-systems-5th-edition/,A. Bruce Carlson,"This exciting revision of Communication Systems, a classic text in the communications field, presents an introduction to electrical communication systems, including analysis methods, design principles, and hardware considerations. The fifth edition has been updated to reflect current technology covering both analog and digital communication in this ever-evolving field…."
Scrum Shortcuts without Cutting Corners,http://www.allitebooks.org/scrum-shortcuts-without-cutting-corners/,Paul Crilly,"Practical, Step-by-Step Scrum Techniques for Improving Processes, Actions, and Outcomes The widespread adoption and success of Scrum can be attributed in large part to its perceived intuitiveness and simplicity. But when new Scrum practitioners attempt to apply Scrum theory and high-level approaches in actual projects, they often find…"
Inbound Marketing,http://www.allitebooks.org/inbound-marketing/,Ilan Goldstein,"Stop pushing your message out and start pulling your customers in Traditional “outbound” marketing methods like cold-calling, email blasts, advertising, and direct mail are increasingly less effective. People are getting better at blocking these interruptions out using Caller ID, spam protection, TiVo, etc. People are now increasingly turning…"
Cognitive Radio Technology,http://www.allitebooks.org/cognitive-radio-technology/,Brian Halligan,"Cognitive radio technology is a smarter, faster, and more efficient way to transmit information to and from fixed, mobile, other wireless communication devices. Cognitive radio builds upon software-defined radio technology. A cognitive radio system is ‘aware’ of its operating environment and automatically adjusts itself to maintain desired communications-it’s…"
Introduction to Computation and Programming Using Python,http://www.allitebooks.org/introduction-to-computation-and-programming-using-python/,John Guttag,"This book introduces students with little or no prior programming experience to the art of computational problem solving using Python and various Python libraries, including PyLab. It provides students with skills that will enable them to make productive use of computational techniques, including some of the tools and…"
"Data Communications and Networking, 3rd Edition",http://www.allitebooks.org/data-communications-and-networking-3rd-edition/,Behrouz Forouzan,"Data Communications and Networking, 3/e provides a comprehensive and current introduction to networking technologies. The book is accessible to students from all backgrounds and uses hundreds of figures to visually represent concepts. The new edition has been completely updated to reflect the constantly changing world of network technologies…."
"Cryptography and Network Security, 5th Edition",http://www.allitebooks.org/cryptography-and-network-security-5th-edition/,William Stallings,"William Stallings’ Cryptography and Network Security: Principles and Practice, 5e is a practical survey of cryptography and network security with unmatched support for instructors and students. In this age of universal electronic connectivity, viruses and hackers, electronic eavesdropping, and electronic fraud, security is paramount. This text provides a…"
GSM System Engineering,http://www.allitebooks.org/gsm-system-engineering/,Asha Mehrotra,"Here is a comprehensive look at the global system for mobile communications from an engineer’s viewpoint. GSM System Engineering covers the architecture, protocols, and time and frequency domain representation, as well as the important issues of network maintenance and management of mobility, subscribers, and security. The book includes…"
C++ Recipes,http://www.allitebooks.org/c-recipes/,Bruce Sutherland,"C++ Recipes: A Problem-Solution Approach is a handy code cookbook reference guide that cover the latest C++ 14 as well as some of the code templates available in the latest Standard Template Library (STL). In this handy reference, you’ll find numbers, strings, dates, times, classes, exceptions, streams, flows,…"
"Advanced  Metaprogramming in Classic C++, 3rd Edition",http://www.allitebooks.org/advanced-metaprogramming-in-classic-c-3rd-edition/,Davide Di Gennaro,"Advanced Metaprogramming in Classic C++: Third Edition, offers a detailed and somewhat intense look into template metaprogramming (TMP) using Classic C++ code examples. The two newer standards are not used in the code so that the examples can be rich, illustrate the point, and be run with confidence…."
Microsoft Azure Essentials,http://www.allitebooks.org/microsoft-azure-essentials/,Michael Collier,"Microsoft Azure Essentials from Microsoft Press is a series of free ebooks designed to help you advance your technical skills with Microsoft Azure. The first ebook in the series, Microsoft Azure Essentials: Fundamentals of Azure, introduces developers and IT professionals to the wide range of capabilities in Azure…."
Java Generics and Collections,http://www.allitebooks.org/java-generics-and-collections/,Robin Shahan,This comprehensive guide shows you how to master the most important changes to Java since it was first released. Generics and the greatly expanded collection libraries have tremendously increased the power of Java 5 and Java 6. But they have also confused many developers who haven’t known how…
Windows Registry Troubleshooting,http://www.allitebooks.org/windows-registry-troubleshooting/,Maurice Naftalin,"Whatever version of Windows you’re using–from Vista up to Windows 8.1–the registry is at the heart of your desktop experience. Software installs and compatibility, hardware operation and more are managed by a complex database of codes and numbers. When something goes wrong it can seem impossible to diagnose…"
Pro REST API Development with Node.js,http://www.allitebooks.org/pro-rest-api-development-with-node-js/,Philip Wadler,"Pro REST API Development with Node.js is your guide to managing and understanding the full capabilities of successful REST development. API design is a hot topic in the programming world, but not many resources exist for developers to really understand how you can leverage the advantages. This book…"
Designing Information,http://www.allitebooks.org/designing-information/,Joel Katz,"“The book itself is a diagram of clarification, containing hundreds of examples of work by those who favor the communication of information over style and academic postulation and those who don’t. Many blurbs such as this are written without a thorough reading of the book. Not so in…"
Pro Vagrant,http://www.allitebooks.org/pro-vagrant/,Wlodzimierz Gajda,"Pro Vagrant teaches you how to effectively implement and optimize Vagrant in your everyday work environment. Master the creation and configuration of virtual development environments with an easy-to-use workflow, and focus on automation. Vagrant lowers development environment setup time, increases development/production parity, and makes the “works on my…"
TIBCO Spotfire for Developers,http://www.allitebooks.org/tibco-spotfire-for-developers/,Manuel Xavier,"Given the amount of competition and the recent economic downturn, corporations have to provide the best services in the most efficient way. Analytics help businesses understand behaviors and patterns, identify and minimize waste, and provide process visibility. Spotfire is a latest generation Analytics Dashboard that enables the representation…"
"Data Structures and Algorithm Analysis in Java, 3rd Edition",http://www.allitebooks.org/data-structures-and-algorithm-analysis-in-java-3rd-edition/,Mark Weiss,"Data Structures and Algorithm Analysis in Java is an “advanced algorithms” book that fits between traditional CS2 and Algorithms Analysis courses. In the old ACM Curriculum Guidelines, this course was known as CS7. This text is for readers who want to learn good programming and algorithm analysis skills…"
"Webbots, Spiders, and Screen Scrapers",http://www.allitebooks.org/webbots-spiders-and-screen-scrapers/,Michael Schrenk,"There’s a wealth of data online, but sorting and gathering it by hand can be tedious and time consuming. Rather than click through page after endless page, why not let bots do the work for you? Webbots, Spiders, and Screen Scrapers will show you how to create simple…"
"Pro Java 8 Programming, 3rd Edition",http://www.allitebooks.org/pro-java-8-programming-3rd-edition/,Brett Spell,Pro Java 8 Programming covers the core Java development kit and the finer points of the core standard edition (SE) and development kit version 8. You’ll discover the particulars of working with the Java language and APIs to develop applications in many different contexts. You will also delve…
Usable Usability,http://www.allitebooks.org/usable-usability/,Eric Reiss,The A-to-Z guide to spotting and fixing usability problems Frustrated by pop-ups? Forms that make you start over if you miss a field? Nonsensical error messages? You’re not alone! This book helps you simply get it right the first time (or fix what’s broken). Boasting a full-color interior packed…
Designing the Search Experience,http://www.allitebooks.org/designing-the-search-experience/,Tony Russell-Rose,"Search is not just a box and ten blue links. Search is a journey: an exploration where what we encounter along the way changes what we seek. But in order to guide people along this journey, designers must understand both the art and science of search.In Designing the…"
Healthy SQL,http://www.allitebooks.org/healthy-sql/,Tyler Tate,"Healthy SQL is about ensuring the ongoing performance health of a SQL Server database. An unhealthy database is not just an inconvenience; it can bring a business to its knees. And if you are the database administrator, the health of your SQL Server implementation can be a direct…"
Mastering Algorithms with C,http://www.allitebooks.org/mastering-algorithms-with-c/,Robert Pearl,"There are many books on data structures and algorithms, including some with useful libraries of C functions. Mastering Algorithms with C offers you a unique combination of theoretical background and working code. With robust solutions for everyday programming tasks, this book avoids the abstract style of most classic…"
Essential Algorithms,http://www.allitebooks.org/essential-algorithms/,Rod Stephens,"A friendly and accessible introduction to the most useful algorithms Computer algorithms are the basic recipes for programming. Professional programmers need to know how to use algorithms to solve difficult programming problems. Written in simple, intuitive English, this book describes how and when to use the most practical…"
"Artificial Intelligence: A Modern Approach, 3rd Edition",http://www.allitebooks.org/artificial-intelligence-a-modern-approach-3rd-edition/,Peter Norvig,"Artificial Intelligence: A Modern Approach, 3e offers the most comprehensive, up-to-date introduction to the theory and practice of artificial intelligence. Number one in its field, this textbook is ideal for one or two-semester, undergraduate or graduate-level courses in Artificial Intelligence. Dr. Peter Norvig, contributing Artificial Intelligenceauthor and Professor…"
JavaScript: The Missing Manual,http://www.allitebooks.org/javascript-the-missing-manual/,Stuart Russell,"JavaScript is an essential language for creating modern, interactive websites, but its complex rules challenge even the most experienced web designers. With JavaScript: The Missing Manual, you’ll quickly learn how to use JavaScript in sophisticated ways — without pain or frustration — even if you have little or…"
Spring MVC: Beginner’s Guide,http://www.allitebooks.org/spring-mvc-beginners-guide-2/,David Sawyer McFarland,"The MVC architecture for developing web applications continues to be a powerful concept and the most popular design pattern known by developers. Spring MVC is a model-view-controller framework for Java web applications to simplify the writing and testing of Java web applications, which fully integrates with the Spring…"
Professional Linux Kernel Architecture,http://www.allitebooks.org/professional-linux-kernel-architecture/,Amuthan G,"Find an introduction to the architecture, concepts and algorithms of the Linux kernel in Professional Linux Kernel Architecture , a guide to the kernel sources and large number of connections among subsystems. Find an introduction to the relevant structures and functions exported by the kernel to userland, understand…"
Professional Assembly Language,http://www.allitebooks.org/professional-assembly-language/,Wolfgang Mauerer,"Unlike high-level languages such as Java and C++, assembly language is much closer to the machine code that actually runs computers; it’s used to create programs or modules that are very fast and efficient, as well as in hacking exploits and reverse engineering Covering assembly language in the…"
Django JavaScript Integration: AJAX and jQuery,http://www.allitebooks.org/django-javascript-integration-ajax-and-jquery/,Richard Blum,"This book will teach you how to enrich your AJAX applications with Django and jQuery in a practical manner with minimum fuss. It introduces AJAX basics, gets a little deeper, and then goes chapter-by-chapter through a carefully chosen case study. It demonstrates how different pieces of a Django…"
Instant R Starter,http://www.allitebooks.org/instant-r-starter/,Jonathan Hayward,"R is a versatile cross-platform environment with the power of a programming language and the flexibility of a scripting language. It is extremely powerful in manipulating and visualizing complex databases, performing statistical computations and producing any kind of plot with a very high graphical quality. Instant R Starter…"
Learning Puppet Security,http://www.allitebooks.org/learning-puppet-security/,Donato Teutonico,"As application and server environments become more complex, managing security and compliance becomes a challenging situation. By utilizing Puppet and the tools associated with it, you can simplify and automate many of the more repetitive security-related tasks. Beginning with the simplest cases, you will quickly get up and…"
Learning Image Processing with OpenCV,http://www.allitebooks.org/learning-image-processing-with-opencv/,Jason Slagle,"OpenCV, arguably the most widely used computer vision library, includes hundreds of ready-to-use imaging and vision functions and is used in both academia and enterprises. This book provides an example-based tour of OpenCV’s main image processing algorithms. Starting with an exploration of library installation, wherein the library structure…"
Data Analysis and Data Mining,http://www.allitebooks.org/data-analysis-and-data-mining/,Adelchi Azzalini,"An introduction to statistical data mining, Data Analysis and Data Mining is both textbook and professional resource. Assuming only a basic knowledge of statistical reasoning, it presents core concepts in data mining and exploratory statistical models to students and professional statisticians-both those working in communications and those working…"
OpenStack Essentials,http://www.allitebooks.org/openstack-essentials/,Bruno Scarpa,"An OpenStack cloud is a complex jungle of components that can speed up managing a virtualization platform. Applications that are built for this platform are resilient to failure and convenient to scale. OpenStack allows administrators and developers to consolidate and control pools of compute, networking, and storage resources,…"
SQL Server 2008 Administration in Action,http://www.allitebooks.org/sql-server-2008-administration-in-action/,Dan Radez,"SQL Server 2008 Administration isn’t a standard SQL Server tutorial-there are dozens of those to choose from. Instead, this book breaks down the role of “SQL Server Administrator” into its key focus areas and tasks and details the techniques and best practices that make an administrator effective. In…"
CoreOS Essentials,http://www.allitebooks.org/coreos-essentials/,Rod Colledge,"This book will help you get up and running on using CoreOS to develop effective computing networks. You will begin with understanding the basics of CoreOS. You will then discover what etcd is and how it is used, followed by launching Docker containers with systemd and fleet. Learn…"
"Learning ExtJS, 4th Edition",http://www.allitebooks.org/learning-extjs-4th-edition/,Rimantas Mocevicius,The new Sencha Ext JS 5 library offers hundreds of components and APIs to build robust applications and fulfills the critical needs of customers all around the world. The new version 5 is packed with new themes and the MVVM architecture that allows you to connect the model…
Learning Hyper-V,http://www.allitebooks.org/learning-hyper-v/,Armando Gonzalez,"Learning Hyper-V will help you understand the core components of Hyper-V and provide you with the knowledge you need in order to become proficient in it. You’ll be able to fully understand the components of its architecture, deployment options, and even licensing, so you’ll be able to work…"
Lua Game Development Cookbook,http://www.allitebooks.org/lua-game-development-cookbook/,Carlos Méndez,"The Lua language allows developers to create everything from simple to advanced applications and to create the games they want. Creating a good game is an art, and using the right tools and knowledge is essential in making game development easier. This book will guide you through each…"
Nginx Essentials,http://www.allitebooks.org/nginx-essentials/,Crysfel Villa,"Nginx is an open source and cross-platform reverse proxy server designed for low memory usage and high performance and concurrency. This book provides both basic and in-depth knowledge to help you effectively solve challenges with Nginx, or comfortably go through a transition period when switching to Nginx. Starting…"
The LEGO MINDSTORMS EV3 Idea Book,http://www.allitebooks.org/the-lego-mindstorms-ev3-idea-book/,Vinicius Apolinario,"The LEGO® MINDSTORMS® EV3 Idea Book explores dozens of creative ways to build amazing mechanisms with the LEGO MINDSTORMS EV3 set. Each model includes a list of the required parts, minimal text, and colorful photographs from multiple angles so you can re-create it without the need for step-by-step…"
Smashing Node.js: JavaScript Everywhere,http://www.allitebooks.org/smashing-node-js-javascript-everywhere/,Mario Kasuba,"Learn to make more efficient apps, with just one language! Smashing Node.js: JavaScript Everywhere equips you with the necessary tools to understand Node.js and its uses in developing efficient web apps. With more traditional web servers becoming obsolete, having knowledge on servers that achieve high scalability and optimal…"
Mastering VMware Horizon 6,http://www.allitebooks.org/mastering-vmware-horizon-6/,Barry Coombs,"Horizon 6 is VMware’s latest end-user computing solution, designed not only to centralize and virtualize desktop environments but also to deliver individual applications securely to any device by means of a virtual workspace. Your journey starts by investigating an end-user computing project including assessment, pilot, and production. Next,…"
Map Scripting 101,http://www.allitebooks.org/map-scripting-101/,Peter von Oven,"Websites like MapQuest and Google Maps have transformed the way we think about maps. But these services do more than offer driving directions—they provide APIs that web developers can use to build highly customized map-based applications. In Map Scripting 101, author Adam DuVander delivers 73 immediately useful scripts…"
Architecting the Cloud,http://www.allitebooks.org/architecting-the-cloud/,Adam DuVander,"An expert guide to selecting the right cloud service model for your business Cloud computing is all the rage, allowing for the delivery of computing and storage capacity to a diverse community of end-recipients. However, before you can decide on a cloud model, you need to determine what…"
Laravel Application Development Cookbook,http://www.allitebooks.org/laravel-application-development-cookbook/,Michael J. Kavis,"When creating a web application, there are many PHP frameworks from which to choose. Some are very easy to set up, and some have a much steeper learning curve. Laravel offers both paths. You can do a quick installation and have your app up-and-running in no time, or…"
Learning Laravel 4 Application Development,http://www.allitebooks.org/learning-laravel-4-application-development/,Terry Matula,"Laravel 4 is a clean and classy framework for PHP web development. It attempts to ease the development of web applications by simplifying the common tasks required in the majority of web projects, such as authentication, routing, sessions, and caching. “Learning Laravel 4 Application Development” uses a step-by-step…"
OOP – Learn Object Oriented Thinking and Programming,http://www.allitebooks.org/oop-learn-object-oriented-thinking-and-programming/,Hardik Dangar,"You can find a whole range of programming textbooks intended for complete beginners. However, this one is exceptional to certain extent. The whole textbook is designed as a record of the dialogue of the author with his daughter who wants to learn programming. The author endeavors not to…"
Spring MVC: Beginner’s Guide,http://www.allitebooks.org/spring-mvc-beginners-guide/,Rudolf Pecinovsky,"The MVC architecture for developing web applications continues to be a powerful concept and the most popular design pattern known by developers. Spring MVC is a model-view-controller framework for Java web applications to simplify the writing and testing of Java web applications, which fully integrates with the Spring…"
Implementing Analytics,http://www.allitebooks.org/implementing-analytics/,Amuthan G,"Implementing Analytics demystifies the concept, technology and application of analytics and breaks its implementation down to repeatable and manageable steps, making it possible for widespread adoption across all functions of an organization. Implementing Analytics simplifies and helps democratize a very specialized discipline to foster business efficiency and innovation…"
REST API Design Rulebook,http://www.allitebooks.org/rest-api-design-rulebook/,Nauman Sheikh,"In today’s market, where rival web services compete for attention, a well-designed REST API is a must-have feature. This concise book presents a set of API design rules, drawn primarily from best practices that stick close to the Web’s REST architectural style. Along with rules for URI design…"
WordPress Multisite Administration,http://www.allitebooks.org/wordpress-multisite-administration/,Mark Masse,"WordPress is an incredibly popular blogging platform. Few people realize that the software behind WordPress.com, which is a standalone WordPress with multisite enabled, is available for free, for anyone to make use of. WordPress Multisite is a special “mode” built into WordPress, which allows you to create a…"
PHP jQuery Cookbook,http://www.allitebooks.org/php-jquery-cookbook/,Vijay Joshi,"As web technology evolves, the gap between desktop applications and web applications continues to vanish. And what better way to bridge that gap, for your own website, than using the best two open source technologies in the market: PHP and jQuery. The power-combo of these two is leading…"
Oracle User Productivity Kit 3.5,http://www.allitebooks.org/oracle-user-productivity-kit-3-5/,Dirk Manuel,"This book provides a practical tutorial on UPK’s functionality, with the aim of teaching developers how to best leverage this functionality to develop high-quality training material. The book guides readers from the basics of recording through to adding value through Web Pages Packages (Infoblocks), Role filters, Glossaries, and…"
Using AutoCAD 2011,http://www.allitebooks.org/using-autocad-2011/,Ralph Grabowski,"Thoroughly updated to AutoCAD 2011 this easy-to-understand essentials edition covers all aspects of AutoCAD fundamentals, from an introduction to computer hardware and AutoCAD software to learning to draw with objects, direct editing of objects, and plotting. Industry veteran Ralph Grabowski uses his step-by-step tutorials which speeds the process…"
"Computer Security: Principles and Practice, 3rd Edition",http://www.allitebooks.org/computer-security-principles-and-practice-3rd-edition/,Lawrie Brown,"Computer Security: Principles and Practice, Third Edition, is ideal for courses in Computer/Network Security. It also provides a solid, up-to-date reference or self-study tutorial for system engineers, programmers, system managers, network managers, product marketing personnel, system support specialists. In recent years, the need for education in computer security…"
Secure Development for Mobile Apps,http://www.allitebooks.org/secure-development-for-mobile-apps/,William Stallings,"The world is becoming increasingly mobile. Smartphones and tablets have become more powerful and popular, with many of these devices now containing confidential business, financial, and personal information. This has led to a greater focus on mobile software security. Establishing mobile software security should be of primary concern…"
Getting Started with Citrix® CloudPortal™,http://www.allitebooks.org/getting-started-with-citrix-cloudportal/,J. D. Glaser,"Cloud computing is emerging as a hot technology, thereby creating a lot of new jobs, and providing a lot of opportunities for IT service providers to run and manage clouds. Citrix CloudPortal Business Manager enables cloud builders to manage and deliver any cloud or IT service through a…"
Balsamiq Wireframes Quickstart Guide,http://www.allitebooks.org/balsamiq-wireframes-quickstart-guide/,Puthiyavan Udayakumar,"Balsamiq Mockups is an easy to use, engaging tool for anyone looking to strategize and brainstorm ideas around product design and information architecture. With Balsamiq, you can strategize, create, prototype and present your ideas clearly and effectively to audiences large and small. “Balsamiq Wireframes Quickstart Guide” is a…"
Salt Cookbook,http://www.allitebooks.org/salt-cookbook/,Faranello Scott,A step-by-step recipe based approach to infrastructure automation and configuration. The topics are explained sequentially as cookbook recipes consisting of practical tasks followed by hands-on configuration of the same with the configuration files and command line outputs of the module executions.
Practical Web Development,http://www.allitebooks.org/practical-web-development/,Anirban Saha,"Web development has grown to become vital in shaping how humans interact, work, learn, and consume. Practical Web Development provides you with a roadmap of web development today, giving you the tools you need and the guidance to keep you creative and productive in a world of disruption…"
"PostgreSQL Replication, Second Edition",http://www.allitebooks.org/postgresql-replication-second-edition/,Paul Wellens,PostgreSQL offers a comprehensive set of replication related features. Unleashing the power of PostgreSQL provides you with countless opportunities and a competitive advantage over other database systems. This book will guide you through the most important concepts of PostgreSQL replication. It contains all the information you need to…
Managing Your Biological Data with Python,http://www.allitebooks.org/managing-your-biological-data-with-python/,Allegra Via,"Take Control of Your Data and Use Python with Confidence Requiring no prior programming experience, Managing Your Biological Data with Python empowers biologists and other life scientists to work with biological data on their own using the Python language. The book teaches them not only how to program…"
Mastering OpenCV Android Application Programming,http://www.allitebooks.org/mastering-opencv-android-application-programming/,Anna Tramontano,"OpenCV is a famous computer vision library, used to analyze and transform copious amounts of image data, even in real time and on a mobile device. This book focuses on leveraging mobile platforms to build interactive and useful applications. The book starts off with an introduction to OpenCV…"
Mastering Laravel,http://www.allitebooks.org/mastering-laravel/,Kristian Rother,"PHP continues to revive and Laravel is at its forefront. Laravel follows modern PHP’s object-oriented best practices and reduces time-to-market, enabling you to build robust web and API-driven mobile applications that can be automatically tested and deployed. With this book you will learn how to rapidly develop software…"
Mastering jQuery Mobile,http://www.allitebooks.org/mastering-jquery-mobile/,Vinjn Zhang,"jQuery Mobile is a touch-optimized JavaScript framework. Using this framework, we can create mobile web applications using standard web technologies such as HTML5, CSS3, and JavaScript which will function and behave consistently across multiple devices of different form factors. The book starts with you setting up the development…"
"Magento PHP Developer’s Guide, Second Edition",http://www.allitebooks.org/magento-php-developers-guide-second-edition/,Christopher Pecoraro,"In the world of e-commerce, there are dozens of tools available to use in custom web design and development. Out of all of these options, Magento is the web’s fastest growing e-commerce platform. Its architecture makes it possible to extend the functionalities using plugins, which are shared by…"
Learning NHibernate 4,http://www.allitebooks.org/learning-nhibernate-4/,Chip Lambert,"Connecting the object-oriented world of .NET to the relational world of databases has always been fiddly but with the onset of ORMs such as NHibernate, developers have finally got some relief in this area. You will begin with a bird’s eye view of NHibernate, touching upon its core…"
Learning Data Mining with Python,http://www.allitebooks.org/learning-data-mining-with-python/,Allan MacGregor,"The next step in the information age is to gain insights from the deluge of data coming our way. Data mining provides a way of finding this insight, and Python is one of the most popular languages for data mining, providing both power and flexibility in analysis. This…"
Learning Boost C++ Libraries,http://www.allitebooks.org/learning-boost-c-libraries/,Suhas Chatekar,"Filled with dozens of working code examples that illustrate the use of over 40 popular Boost libraries, this book takes you on a tour of Boost, helping you to independently build the libraries from source and use them in your own code. The first half of the book…"
JavaScript at Scale,http://www.allitebooks.org/javascript-at-scale/,Robert Layton,"JavaScript applications of today look a lot different from their predecessors of just five years ago. Because of this rapid growth in sophistication and capabilities, we’ve seen an explosion in JavaScript frameworks; the JavaScript development landscape is a fragmented one. To build large-scale JavaScript applications, we need more…"
Learning AWS,http://www.allitebooks.org/learning-aws/,Arindam Mukherjee,"With the increasing global interest in leveraging cloud infrastructure, AWS Cloud from Amazon offers a cutting-edge platform for architecting, building, and deploying web-scale cloud applications. The variety of features available within AWS can reduce overall infrastructure costs and accelerate the development process for both large enterprises and startups…"
Cocos2d-x Game Development Blueprints,http://www.allitebooks.org/cocos2d-x-game-development-blueprints/,Karan Sequeira,"Packed with comprehensive projects, this book takes a detailed look at a few of the industry’s most popular games. This book will show you how to use Cocos2d-x to build games using its core components. You will learn how to incorporate game physics, and import custom models and…"
Blender 3D Cookbook,http://www.allitebooks.org/blender-3d-cookbook/,Enrico Valenza,"This book is mainly aimed at professionals who already have strong 3D CGI experience using commercial packages and have now decided to try Blender. If you are looking for something more complex and in-depth than the beginner s tutorials on the Web, this book is for you. It’s…"
Android 5 Programming by Example,http://www.allitebooks.org/android-5-programming-by-example/,Kyle Mew,"Android is a mobile operating system that runs on a staggering number of smart phones and tablets. Android offers developers the ability to build rich and innovative applications written using the Java programming language. Beginning with detailed instructions on how to install and configure the Android SDK, Studio,…"
Mapping and Visualization with SuperCollider,http://www.allitebooks.org/mapping-and-visualization-with-supercollider/,Marinos Koutsomichalis,"SuperCollider is an environment and programming language used by musicians, scientists, and artists who work with audio-files SuperCollider has built-in graphical features which are used in conjunction with the sound synthesis server to create audio-visual mapping and sound visualization. If you wish to create data visualizations by acquiring…"
"Java for Programmers, 2nd Edition",http://www.allitebooks.org/java-for-programmers-2nd-edition/,Harvey M. Deitel,"The professional programmer’s Deitel® guide to Java™ development and the powerful Java platform Written for programmers with a background in high-level language programming, this book applies the Deitel signature live-code approach to teaching programming and explores the Java language and Java APIs in depth. The book presents concepts…"
Introduction to Programming Languages,http://www.allitebooks.org/introduction-to-programming-languages/,Paul J. Deitel,"In programming courses, using the different syntax of multiple languages, such as C++, Java, PHP, and Python, for the same abstraction often confuses students new to computer science. Introduction to Programming Languages separates programming language concepts from the restraints of multiple language syntax by discussing the concepts at…"
"Distributed Networks: Intelligence, Security, and Applications",http://www.allitebooks.org/distributed-networks-intelligence-security-and-applications/,Arvind Kumar Bansal,"For many civilian, security, and military applications, distributed and networked coordination offers a more promising alternative to centralized command and control in terms of scalability, flexibility, and robustness. It also introduces its own challenges. Distributed Networks: Intelligence, Security, and Applications brings together scientific research in distributed network intelligence,…"
"New Perspectives on Microsoft Access 2013, Comprehensive",http://www.allitebooks.org/new-perspectives-on-microsoft-access-2013-comprehensive/,Qurban A. Memon,"With proven pedagogy that emphasizes critical-thinking, problem-solving, and in-depth coverage, New Perspectives helps students develop the Microsoft Office 2013 skills they need to be successful in college and beyond. Updated with all new case-based tutorials, NEW PERSPECTIVES MICROSOFT ACCESS 2013 continues to engage students in applying skills to…"
"Linear and Nonlinear Programming, 4 edition",http://www.allitebooks.org/linear-and-nonlinear-programming-4-edition/,Joseph J. Adamski,"This new edition covers the central concepts of practical optimization techniques, with an emphasis on methods that are both state-of-the-art and popular. One major insight is the connection between the purely analytical character of an optimization problem and the behavior of algorithms used to solve a problem. This…"
OCA Oracle Database 11g Administration I Exam Guide (Exam 1Z0-052),http://www.allitebooks.org/oca-oracle-database-11g-administration-i-exam-guide-exam-1z0-052/,Kathy T. Finnegan,"A Fully Integrated Study System for OCA Exam 1Z0-052 Prepare for the Oracle Certified Associate Oracle Database 11g Administration I exam with help from this exclusive Oracle Press guide. In each chapter, you’ll find challenging exercises, practice questions, a two-minute drill, and a chapter summary to highlight what…"
Harness the Power of Big Data the IBM Big Data Platform,http://www.allitebooks.org/harness-the-power-of-big-data-the-ibm-big-data-platform/,David Corrigan,"Big Data represents a new era of computing—an inflection point of opportunity where data in any format may be explored and utilized for breakthrough insights—whether that data is in-place, in-motion, or at-rest. IBM is uniquely positioned to help clients navigate this transformation. This book reveals how IBM is…"
"Guide to Computer Network Security, 3rd edition",http://www.allitebooks.org/guide-to-computer-network-security-3rd-edition/,Dirk deRoos,"This fully updated new edition explores the security issues, vulnerabilities and dangers encountered by the users of modern computing and communication devices, highlighting the need to develop improved algorithms, protocols, and best practices to enhance the security of public, private and enterprise systems alike. Features: introduces the fundamentals…"
Security Planning: An Applied Approach,http://www.allitebooks.org/security-planning-an-applied-approach/,James Giles,"This book guides readers through building an IT security plan. Offering a template, it helps readers to prioritize risks, conform to regulation, plan their defense and secure proprietary/confidential information. The process is documented in the supplemental online security workbook. Security Planning is designed for the busy IT practitioner,…"
Untangle Network Security,http://www.allitebooks.org/untangle-network-security/,Krishnan Parasuraman,"Untangle NG Firewall simplifies network security because of its easy configuration and user-friendly interface. These attributes, in addition to its low price, make Untangle one of the most popular UTM products, and the first choice for many SMBs. Starting with a detailed description of the capabilities of Untangle…"
Microsoft Azure Security,http://www.allitebooks.org/microsoft-azure-security/,Paul Zikopoulos,"Microsoft Azure Security helps you ensure that all your applications and services stay secure and safe from any threats. Starting with a quick tour through the fundamentals of security standards, you will quickly gain a comprehensive overview of Azure Services where security has to be managed directly. You…"
Microsoft Dynamics AX 2012 R3 Security,http://www.allitebooks.org/microsoft-dynamics-ax-2012-r3-security/,Thomas Deutsch,"Microsoft Dynamics AX is an ERP software that supports multisite operations. The variety of security features in MS Dynamics AX 2012 enables stakeholders to deal with business data smoothly and securely, avoiding security threats and raising their competencies in the market. This book begins by providing you with…"
Java for Everyone: Late Objects,http://www.allitebooks.org/java-for-everyone-late-objects/,Joseph Migga Kizza,"Programmers, computer scientists, and engineers need a book that delivers the essentials of how to program using Java in a more accessible, less rigorous approach. Java for Everyone provides them with a more user-friendly, graphics-intensive design that conveys complex concepts simply and effectively. It differs from other books…"
Model-Based Development: Applications,http://www.allitebooks.org/model-based-development-applications/,Susan Lincke,"A Proven Development Methodology That Delivers On the Promise of Model-Based Approaches Software continues to become more and more complex, while software consumers’ expectations for performance, reliability, functionality, and speed-to-market are also growing exponentially. H. S. Lahman shows how to address all these challenges by integrating proven object-oriented…"
